GEO entry	sample name	Embryo ID	Annotated State	Number of transcripts
GSM2205880	1_P0_2	P01	P0	501109
GSM2205881	1_P0_3	P02	P0	145604
GSM2205882	1_P0_4	P03	P0	245832
GSM2205883	2_r1_1	2c1	AB	111200
GSM2205884	2_r2_1	2c1	P1	68805
GSM2205885	2_r1_2	2c3	P1	60623
GSM2205886	2_r2_3	2c3	AB	98424
GSM2205887	2_r1_4	2c4	AB	64294
GSM2205888	2_r2_4	2c4	P1	74307
GSM2205889	2_r1_5	2c5	AB	82920
GSM2205890	2_r2_5	2c5	P1	69099
GSM2205891	4_r1_1	4c1	ABp	80321
GSM2205892	4_r2_1	4c1	ABa	63589
GSM2205893	4_r3_1	4c1	P2	32407
GSM2205894	4_r4_1	4c1	EMS	54497
GSM2205898	4_r4_2	4c3	ABp	4
GSM2205899	4_r1_3	4c3	ABa	66051
GSM2205900	4_r2_3	4c3	P2	43596
GSM2205901	4_r3_3	4c3	EMS	66429
GSM2205902	4_r4_3	4c5	ABp	137827
GSM2205903	4_r1_5	4c5	P2	528933
GSM2205904	4_r2_5	4c5	EMS	711974
GSM2205905	4_r3_5	4c5	ABa	632060
GSM2205912	6_r26_2	7c1	ABpx	235843
GSM2205913	7_r1_1	7c1	P3 (8-cell stage)	381403
GSM2205914	7_r2_1	7c1	ABax	500811
GSM2205915	7_r3_1	7c1	MS	73783
GSM2205916	7_r4_1	7c1	ABpx	159174
GSM2205917	7_r5_1	7c1	E	275223
GSM2205918	7_r6_1	7c1	ABax	166582
GSM2205919	7_r7_1	8c1	C	257696
GSM2205920	8_r1_1	8c1	ABpx	182068
GSM2205921	8_r2_1	8c1	E	286240
GSM2205922	8_r3_1	8c1	ABax	409546
GSM2205923	8_r4_1	8c1	ABax	259174
GSM2205925	8_r6_1	8c1	P3 (8-cell stage)	217267
GSM2205926	8_r7_1	8c2	MS	368536
GSM2205927	8_r1_2	8c2	ABpx	367202
GSM2205928	8_r2_2	8c2	E	323706
GSM2205930	8_r4_2	8c2	ABpx	113645
GSM2205931	8_r5_2	8c2	ABax	305726
GSM2205934	8_r1_3	8c3	MS	159321
GSM2205935	8_r2_3	8c3	C	315332
GSM2205936	8_2r3_3	8c3	ABpx	265137
GSM2205937	8_2r4_3	8c3	ABax	289734
GSM2205938	8_2r5_3	8c3	ABax	247633
GSM2205939	8_r6_3	8c3	E	228628
GSM2205940	8_r7_3	8c3	P3 (8-cell stage)	198241
GSM2205941	8_r1_4	8c4	P3 (8-cell stage)	63937
GSM2205942	8_r2_4	8c4	C	347908
GSM2205943	8_r3_4	8c4	ABpx	367698
GSM2205944	8_r4_4	8c4	E	193037
GSM2205945	8_r5_4	8c4	MS	295049
GSM2205946	8_r6_4	8c4	ABax	404841
GSM2205947	8_2r7_4	8c4	ABpx	404289
GSM2205948	8_2r8_4	8c4	ABax	127743
GSM2205949	10_r1_1	10c1	ABax	142688
GSM2205950	10_r2_1	10c1	P3 (8-cell stage)	263193
GSM2205951	10_r3_1	10c1	ABpx	185143
GSM2205952	10_r4_1	10c1	ABax	119035
GSM2205953	10_r5_1	10c1	ABpx	217999
GSM2205954	10_r6_1	10c1	E	287680
GSM2205955	10_r7_1	10c1	MS	320815
GSM2205956	10_r8_1	10c1	ABax	327475
GSM2205957	10_r9_1	10c1	ABpx	248699
GSM2205958	10_r10_1	10c1	C	331765
GSM2206021	13_r1_1	13c	Cx	143685
GSM2206022	13_r2_1	13c	ABarp	128000
GSM2206023	13_r3_1	13c	ABpxa	274084
GSM2206024	13_r4_1	13c	MSx	71091
GSM2206026	13_r6_1	13c	ABpxp	130314
GSM2206027	13_r7_1	13c	ABalp	82392
GSM2206028	13_r8_1	13c	ABara	157604
GSM2206029	13_r9_1	13c	ABpxp	117119
GSM2206030	13_r10_1	13c	P3 15	146459
GSM2206032	13_r1_2	13c2	MSx	37418
GSM2206033	13_r2_2	13c2	ABpxp	194817
GSM2206034	13_r3_2	13c2	ABarp	256378
GSM2206035	13_r4_2	13c2	ABpxa	23162
GSM2206036	13_r5_2	13c2	ABpxa	150725
GSM2206037	13_r6_2	13c2	ABalp	187336
GSM2206038	13_r7_2	13c2	ABara	148406
GSM2206039	13_r8_2	13c2	Ep 15	123381
GSM2206040	13_r9_2	13c2	ABala	158581
GSM2206041	13_r10_2	13c2	ABpxp	169196
GSM2206042	13_r11_2	13c2	Ea 15	159325
GSM2206054	14_r1_2	14c2	ABpxa	194753
GSM2206055	14_r2_2	14c2	ABalp	293035
GSM2206056	14_r3_2	14c2	ABpxp	132167
GSM2206057	14_r4_2	14c2	Cx	203842
GSM2206058	14_r5_2	14c2	P3 15	224067
GSM2206059	14_r6_2	14c2	ABala	148133
GSM2206060	14_r7_2	14c2	ABpxa	174800
GSM2206061	14_r8_2	14c2	ABpxp	212095
GSM2206062	14_r9_2	14c2	Ep 15	159327
GSM2206063	14_r10_2	14c2	Ea 15	181560
GSM2206064	14_r11_2	14c2	MSx	96132
GSM2206065	14_r12_2	14c2	ABarp	197358
GSM2206066	14_r13_2	14c2	MSx	169157
GSM2206067	14_r14_2	14c2	Cx	177040
GSM2206070	17_r3_1	15c	ABalp	246910
GSM2206071	17_r4_1	15c	ABpxp	203286
GSM2206072	17_r5_1	15c	P3 15	41087
GSM2206073	17_r6_1	15c	ABpxa	265184
GSM2206074	17_r7_1	15c	ABala	136566
GSM2206076	17_r9_1	15c	ABara	167388
GSM2206077	17_r10_1	15c	ABpxa	138034
GSM2206079	17_1r17_1	15c	Ep 15	77115
GSM2206080	17_1r13_1	15c	Cx	291249
GSM2206081	17_r1_2	17c2	ABpxp	151040
GSM2206082	17_r2_2	17c2	Ep 15	137652
GSM2206083	17_r3_2	17c2	Cx	133820
GSM2206084	17_r4_2	17c2	ABara	209590
GSM2206085	17_r5_2	17c2	ABarp	242255
GSM2206086	17_r6_2	17c2	ABpxp	112152
GSM2206087	17_r7_2	17c2	P3 15	132609
GSM2206089	17_r9_2	17c2	ABpxa	70203
GSM2206090	17_r10_2	17c2	MSx	161184
GSM2206091	17_r11_2	17c2	Ea 15	140677
GSM2206092	17_r12_2	17c2	MSx	165689
GSM2206093	17_r13_2	17c2	ABpxa	165925
GSM2206094	17_r14_2	17c2	ABala	128654
GSM2206095	17_r15_2	17c2	ABalp	170123
GSM2206096	17_r16_2	17c2	ABpxp	52316
GSM2206097	17_r17_2	17c2	Cx	167506
GSM2206115	22_r1_1	22c	MSxp	245961
GSM2206116	22_r2_1	22c	ABpxpa	154931
GSM2206117	22_r3_1	22c	ABpxpp	119838
GSM2206118	22_r4_1	22c	ABpxpa	197908
GSM2206119	22_r5_1	22c	ABpxap	193567
GSM2206120	22_r6_1	22c	ABpxaa	184847
GSM2206121	22_r7_1	22c	ABpxpp	148893
GSM2206122	22_r8_1	22c	ABaraa	91908
GSM2206123	22_r9_1	22c	ABalpa	153206
GSM2206124	22_r10_1	22c	ABarpp	136361
GSM2206125	22_r11_1	22c	ABarap	118768
GSM2206126	22_r12_1	22c	ABpxaa	185515
GSM2206127	22_r13_1	22c	Cxa	93091
GSM2206128	22_r14_1	22c	Cxa	104035
GSM2206129	22_r15_1	22c	Cxp	72420
GSM2206130	22_r16_1	22c	P4 (28-cell stage)	140288
GSM2206131	22_r17_1	22c	D	159456
GSM2206132	22_r18_1	22c	ABalpp	139468
GSM2206133	22_r19_1	22c	Ep (28-cell stage)	198160
GSM2206134	22_r20_1	22c	Cxp	132137
GSM2206135	22_r21_1	22c	ABpxap	161815
GSM2206136	23_r1_1	23c	ABpxaa	148496
GSM2206137	23_r2_1	23c	ABarpa	84904
GSM2206138	23_r3_1	23c	MSxa	174772
GSM2206139	23_r4_1	23c	P4 (28-cell stage)	238602
GSM2206140	23_r5_1	23c	MSxp	189631
GSM2206141	23_r6_1	23c	ABpxpa	67479
GSM2206142	23_r7_1	23c	ABarap	87187
GSM2206145	23_r10_1	23c	ABpxap	96168
GSM2206146	23_r11_1	23c	Cxp	195598
GSM2206148	23_r13_1	23c	Cxa	237317
GSM2206149	23_r14_1	23c	ABpxap	118760
GSM2206150	23_r15_1	23c	ABpxpp	102230
GSM2206151	23_r16_1	23c	ABarpp	113717
GSM2206152	23_r17_1	23c	ABalpa	129895
GSM2206153	23_r18_1	23c	Ea (28-cell stage)	219571
GSM2206154	23_r19_1	23c	ABpxpa	131675
GSM2206155	23_r20_1	23c	ABalpp	112054
GSM2206156	23_r21_1	23c	ABpxaa	124804
GSM2206157	24_r1_1	24c1	Cxp	472793
GSM2206158	24_r2_1	24c1	Ea (28-cell stage)	222173
GSM2206159	24_r3_1	24c1	ABarap	74346
GSM2206160	24_2r4_1	24c1	MSxa	208039
GSM2206161	24_r5_1	24c1	ABpxpp	95159
GSM2206162	24_r6_1	24c1	ABpxaa	113858
GSM2206163	24_r7_1	24c1	ABpxpa	77900
GSM2206164	24_r8_1	24c1	ABaraa	60531
GSM2206166	24_r10_1	24c1	ABpxap	39314
GSM2206167	24_r11_1	24c1	ABpxpa	107379
GSM2206168	24_r12_1	24c1	ABarpp	162793
GSM2206169	24_r13_1	24c1	ABpxpp	76469
GSM2206170	24_r14_1	24c1	Cxa	113760
GSM2206171	24_r15_1	24c1	ABpxap	124146
GSM2206172	24_2r16_1	24c1	MSxa	273716
GSM2206173	24_r17_1	24c1	P4 (28-cell stage)	120011
GSM2206174	24_r18_1	24c1	ABpxaa	160546
GSM2206175	24_r19_1	24c1	Ep (28-cell stage)	10648
GSM2206176	24_r20_1	24c1	ABalpa	139582
GSM2206177	24_r21_1	24c1	ABalap	112354
GSM2206178	24_r22_1	24c1	ABalaa	109251
GSM2206179	24_r23_1	24c1	ABalpp	120303
GSM2206180	24_r24_1	24c1	D	296402
GSM2206181	24_r1_2	24c2	ABalap	129932
GSM2206182	24_r2_2	24c2	ABpxpp	98447
GSM2206183	24_r3_2	24c2	ABpxaa	67087
GSM2206184	24_r4_2	24c2	ABalaa	56492
GSM2206185	24_r5_2	24c2	ABpxaa	126218
GSM2206186	24_r6_2	24c2	Cxp	262003
GSM2206187	24_r7_2	24c2	MSxa	186935
GSM2206188	24_2r8_2	24c2	ABpxap	100936
GSM2206189	24_r9_2	24c2	ABpxpa	11414
